(h + 14*t)*(x+15)^16;(6*h + 7*t)*(x+15)^15;(14*h + 2*t)*(x+15)^14;(14*h + 14*t)*(x+15)^13;(15*h + 5*t)*(x+15)^12;(12*h + 8*t)*(x+15)^11;2*h*(x+15)^10;(4*h + t)*(x+15)^9;(h + 14*t)*(x+15)^8;(6*h + 7*t)*(x+15)^7;(14*h + 2*t)*(x+15)^6;(14*h + 14*t)*(x+15)^5;(15*h + 5*t)*(x+15)^4;(5*h + 4*t)*(x+15)^3;(6*h + 14*t)*(x+15)^2;(3*h + 12*t)*(x+15);(7*h + 9*t)
(h + 15*t)*(x+15)^16;(9*h + 5*t)*(x+15)^15;(5*h + 6*t)*(x+15)^14;(h + 6*t)*(x+15)^13;(4*h + 4*t)*(x+15)^12;(3*h + 10*t)*(x+15)^11;13*t*(x+15)^10;(11*h + 9*t)*(x+15)^9;(h + 15*t)*(x+15)^8;(9*h + 5*t)*(x+15)^7;(5*h + 6*t)*(x+15)^6;(h + 6*t)*(x+15)^5;(4*h + 4*t)*(x+15)^4;(10*h + 7*t)*(x+15)^3;(10*h + 15*t)*(x+15)^2;(8*h + 13*t)*(x+15);(4*h + 7*t)
(h + 16*t)*(x+15)^16;(12*h + 3*t)*(x+15)^15;(13*h + 10*t)*(x+15)^14;(5*h + 15*t)*(x+15)^13;(10*h + 3*t)*(x+15)^12;(11*h + 12*t)*(x+15)^11;(15*h + 9*t)*(x+15)^10;h*(x+15)^9;(h + 16*t)*(x+15)^8;(12*h + 3*t)*(x+15)^7;(13*h + 10*t)*(x+15)^6;(5*h + 15*t)*(x+15)^5;(10*h + 3*t)*(x+15)^4;(15*h + 10*t)*(x+15)^3;(14*h + 16*t)*(x+15)^2;(13*h + 14*t)*(x+15);(h + 5*t)

h*(x+16)^16;(16*h + t)*(x+16)^15;(h + 16*t)*(x+16)^14;(16*h + t)*(x+16)^13;(h + 16*t)*(x+16)^12;(16*h + t)*(x+16)^11;(h + 16*t)*(x+16)^10;(16*h + t)*(x+16)^9;(h + 16*t)*(x+16)^8;(16*h + t)*(x+16)^7;(h + 16*t)*(x+16)^6;(16*h + t)*(x+16)^5;(h + 16*t)*(x+16)^4;;(3*h + 14*t)*(x+16)^2;(2*h + 15*t)*(x+16);(9*h + 8*t)
t*(x+16)^16;(3*h + 16*t)*(x+16)^15;(14*h + t)*(x+16)^14;(3*h + 16*t)*(x+16)^13;(14*h + t)*(x+16)^12;(3*h + 16*t)*(x+16)^11;(14*h + t)*(x+16)^10;(3*h + 16*t)*(x+16)^9;(14*h + t)*(x+16)^8;(3*h + 16*t)*(x+16)^7;(14*h + t)*(x+16)^6;(3*h + 16*t)*(x+16)^5;(14*h + t)*(x+16)^4;;(12*h + 3*t)*(x+16)^2;(14*h + 2*t)*(x+16);(5*h + 9*t)
(h + t)*(x+16)^16;2*h*(x+16)^15;15*h*(x+16)^14;2*h*(x+16)^13;15*h*(x+16)^12;2*h*(x+16)^11;15*h*(x+16)^10;2*h*(x+16)^9;15*h*(x+16)^8;2*h*(x+16)^7;15*h*(x+16)^6;2*h*(x+16)^5;15*h*(x+16)^4;;15*h*(x+16)^2;16*h*(x+16);14*h
(h + 2*t)*(x+16)^16;(5*h + 16*t)*(x+16)^15;(12*h + t)*(x+16)^14;(5*h + 16*t)*(x+16)^13;(12*h + t)*(x+16)^12;(5*h + 16*t)*(x+16)^11;(12*h + t)*(x+16)^10;(5*h + 16*t)*(x+16)^9;(12*h + t)*(x+16)^8;(5*h + 16*t)*(x+16)^7;(12*h + t)*(x+16)^6;(5*h + 16*t)*(x+16)^5;(12*h + t)*(x+16)^4;;(10*h + 3*t)*(x+16)^2;(13*h + 2*t)*(x+16);(2*h + 9*t)
(h + 3*t)*(x+16)^16;(8*h + 15*t)*(x+16)^15;(9*h + 2*t)*(x+16)^14;(8*h + 15*t)*(x+16)^13;(9*h + 2*t)*(x+16)^12;(8*h + 15*t)*(x+16)^11;(9*h + 2*t)*(x+16)^10;(8*h + 15*t)*(x+16)^9;(9*h + 2*t)*(x+16)^8;(8*h + 15*t)*(x+16)^7;(9*h + 2*t)*(x+16)^6;(8*h + 15*t)*(x+16)^5;(9*h + 2*t)*(x+16)^4;;(5*h + 6*t)*(x+16)^2;(10*h + 4*t)*(x+16);(7*h + t)
(h + 4*t)*(x+16)^16;(11*h + 14*t)*(x+16)^15;(6*h + 3*t)*(x+16)^14;(11*h + 14*t)*(x+16)^13;(6*h + 3*t)*(x+16)^12;(11*h + 14*t)*(x+16)^11;(6*h + 3*t)*(x+16)^10;(11*h + 14*t)*(x+16)^9;(6*h + 3*t)*(x+16)^8;(11*h + 14*t)*(x+16)^7;(6*h + 3*t)*(x+16)^6;(11*h + 14*t)*(x+16)^5;(6*h + 3*t)*(x+16)^4;;9*t*(x+16)^2;(7*h + 6*t)*(x+16);(12*h + 10*t)
(h + 5*t)*(x+16)^16;(14*h + 13*t)*(x+16)^15;(3*h + 4*t)*(x+16)^14;(14*h + 13*t)*(x+16)^13;(3*h + 4*t)*(x+16)^12;(14*h + 13*t)*(x+16)^11;(3*h + 4*t)*(x+16)^10;(14*h + 13*t)*(x+16)^9;(3*h + 4*t)*(x+16)^8;(14*h + 13*t)*(x+16)^7;(3*h + 4*t)*(x+16)^6;(14*h + 13*t)*(x+16)^5;(3*h + 4*t)*(x+16)^4;;(12*h + 12*t)*(x+16)^2;(4*h + 8*t)*(x+16);2*t
(h + 6*t)*(x+16)^16;12*t*(x+16)^15;5*t*(x+16)^14;12*t*(x+16)^13;5*t*(x+16)^12;12*t*(x+16)^11;5*t*(x+16)^10;12*t*(x+16)^9;5*t*(x+16)^8;12*t*(x+16)^7;5*t*(x+16)^6;12*t*(x+16)^5;5*t*(x+16)^4;;(7*h + 15*t)*(x+16)^2;(h + 10*t)*(x+16);(5*h + 11*t)
(h + 7*t)*(x+16)^16;(3*h + 11*t)*(x+16)^15;(14*h + 6*t)*(x+16)^14;(3*h + 11*t)*(x+16)^13;(14*h + 6*t)*(x+16)^12;(3*h + 11*t)*(x+16)^11;(14*h + 6*t)*(x+16)^10;(3*h + 11*t)*(x+16)^9;(14*h + 6*t)*(x+16)^8;(3*h + 11*t)*(x+16)^7;(14*h + 6*t)*(x+16)^6;(3*h + 11*t)*(x+16)^5;(14*h + 6*t)*(x+16)^4;;(2*h + t)*(x+16)^2;(15*h + 12*t)*(x+16);(10*h + 3*t)
(h + 8*t)*(x+16)^16;(6*h + 10*t)*(x+16)^15;(11*h + 7*t)*(x+16)^14;(6*h + 10*t)*(x+16)^13;(11*h + 7*t)*(x+16)^12;(6*h + 10*t)*(x+16)^11;(11*h + 7*t)*(x+16)^10;(6*h + 10*t)*(x+16)^9;(11*h + 7*t)*(x+16)^8;(6*h + 10*t)*(x+16)^7;(11*h + 7*t)*(x+16)^6;(6*h + 10*t)*(x+16)^5;(11*h + 7*t)*(x+16)^4;;(14*h + 4*t)*(x+16)^2;(12*h + 14*t)*(x+16);(15*h + 12*t)
(h + 9*t)*(x+16)^16;(9*h + 9*t)*(x+16)^15;(8*h + 8*t)*(x+16)^14;(9*h + 9*t)*(x+16)^13;(8*h + 8*t)*(x+16)^12;(9*h + 9*t)*(x+16)^11;(8*h + 8*t)*(x+16)^10;(9*h + 9*t)*(x+16)^9;(8*h + 8*t)*(x+16)^8;(9*h + 9*t)*(x+16)^7;(8*h + 8*t)*(x+16)^6;(9*h + 9*t)*(x+16)^5;(8*h + 8*t)*(x+16)^4;;(9*h + 7*t)*(x+16)^2;(9*h + 16*t)*(x+16);(3*h + 4*t)
(h + 10*t)*(x+16)^16;(12*h + 8*t)*(x+16)^15;(5*h + 9*t)*(x+16)^14;(12*h + 8*t)*(x+16)^13;(5*h + 9*t)*(x+16)^12;(12*h + 8*t)*(x+16)^11;(5*h + 9*t)*(x+16)^10;(12*h + 8*t)*(x+16)^9;(5*h + 9*t)*(x+16)^8;(12*h + 8*t)*(x+16)^7;(5*h + 9*t)*(x+16)^6;(12*h + 8*t)*(x+16)^5;(5*h + 9*t)*(x+16)^4;;(4*h + 10*t)*(x+16)^2;(6*h + t)*(x+16);(8*h + 13*t)
(h + 11*t)*(x+16)^16;(15*h + 7*t)*(x+16)^15;(2*h + 10*t)*(x+16)^14;(15*h + 7*t)*(x+16)^13;(2*h + 10*t)*(x+16)^12;(15*h + 7*t)*(x+16)^11;(2*h + 10*t)*(x+16)^10;(15*h + 7*t)*(x+16)^9;(2*h + 10*t)*(x+16)^8;(15*h + 7*t)*(x+16)^7;(2*h + 10*t)*(x+16)^6;(15*h + 7*t)*(x+16)^5;(2*h + 10*t)*(x+16)^4;;(16*h + 13*t)*(x+16)^2;(3*h + 3*t)*(x+16);(13*h + 5*t)
(h + 12*t)*(x+16)^16;(h + 6*t)*(x+16)^15;(16*h + 11*t)*(x+16)^14;(h + 6*t)*(x+16)^13;(16*h + 11*t)*(x+16)^12;(h + 6*t)*(x+16)^11;(16*h + 11*t)*(x+16)^10;(h + 6*t)*(x+16)^9;(16*h + 11*t)*(x+16)^8;(h + 6*t)*(x+16)^7;(16*h + 11*t)*(x+16)^6;(h + 6*t)*(x+16)^5;(16*h + 11*t)*(x+16)^4;;(11*h + 16*t)*(x+16)^2;5*t*(x+16);(h + 14*t)
(h + 13*t)*(x+16)^16;(4*h + 5*t)*(x+16)^15;(13*h + 12*t)*(x+16)^14;(4*h + 5*t)*(x+16)^13;(13*h + 12*t)*(x+16)^12;(4*h + 5*t)*(x+16)^11;(13*h + 12*t)*(x+16)^10;(4*h + 5*t)*(x+16)^9;(13*h + 12*t)*(x+16)^8;(4*h + 5*t)*(x+16)^7;(13*h + 12*t)*(x+16)^6;(4*h + 5*t)*(x+16)^5;(13*h + 12*t)*(x+16)^4;;(6*h + 2*t)*(x+16)^2;(14*h + 7*t)*(x+16);(6*h + 6*t)
(h + 14*t)*(x+16)^16;(7*h + 4*t)*(x+16)^15;(10*h + 13*t)*(x+16)^14;(7*h + 4*t)*(x+16)^13;(10*h + 13*t)*(x+16)^12;(7*h + 4*t)*(x+16)^11;(10*h + 13*t)*(x+16)^10;(7*h + 4*t)*(x+16)^9;(10*h + 13*t)*(x+16)^8;(7*h + 4*t)*(x+16)^7;(10*h + 13*t)*(x+16)^6;(7*h + 4*t)*(x+16)^5;(10*h + 13*t)*(x+16)^4;;(h + 5*t)*(x+16)^2;(11*h + 9*t)*(x+16);(11*h + 15*t)
(h + 15*t)*(x+16)^16;(10*h + 3*t)*(x+16)^15;(7*h + 14*t)*(x+16)^14;(10*h + 3*t)*(x+16)^13;(7*h + 14*t)*(x+16)^12;(10*h + 3*t)*(x+16)^11;(7*h + 14*t)*(x+16)^10;(10*h + 3*t)*(x+16)^9;(7*h + 14*t)*(x+16)^8;(10*h + 3*t)*(x+16)^7;(7*h + 14*t)*(x+16)^6;(10*h + 3*t)*(x+16)^5;(7*h + 14*t)*(x+16)^4;;(13*h + 8*t)*(x+16)^2;(8*h + 11*t)*(x+16);(16*h + 7*t)
(h + 16*t)*(x+16)^16;(13*h + 2*t)*(x+16)^15;(4*h + 15*t)*(x+16)^14;(13*h + 2*t)*(x+16)^13;(4*h + 15*t)*(x+16)^12;(13*h + 2*t)*(x+16)^11;(4*h + 15*t)*(x+16)^10;(13*h + 2*t)*(x+16)^9;(4*h + 15*t)*(x+16)^8;(13*h + 2*t)*(x+16)^7;(4*h + 15*t)*(x+16)^6;(13*h + 2*t)*(x+16)^5;(4*h + 15*t)*(x+16)^4;;(8*h + 11*t)*(x+16)^2;(5*h + 13*t)*(x+16);(4*h + 16*t)

h*(x+17)^16;t*(x+17)^15;t*(x+17)^14;t*(x+17)^13;t*(x+17)^12;t*(x+17)^11;t*(x+17)^10;t*(x+17)^9;t*(x+17)^8;t*(x+17)^7;t*(x+17)^6;t*(x+17)^5;t*(x+17)^4;h*(x+17)^3;(12*h + 16*t)*(x+17)^2;(2*h + 14*t)*(x+17);(4*h + 10*t)
t*(x+17)^16;3*h*(x+17)^15;3*h*(x+17)^14;3*h*(x+17)^13;3*h*(x+17)^12;3*h*(x+17)^11;3*h*(x+17)^10;3*h*(x+17)^9;3*h*(x+17)^8;3*h*(x+17)^7;3*h*(x+17)^6;3*h*(x+17)^5;3*h*(x+17)^4;t*(x+17)^3;(14*h + 12*t)*(x+17)^2;(11*h + 2*t)*(x+17);(2*h + 4*t)
(h + t)*(x+17)^16;(3*h + t)*(x+17)^15;(3*h + t)*(x+17)^14;(3*h + t)*(x+17)^13;(3*h + t)*(x+17)^12;(3*h + t)*(x+17)^11;(3*h + t)*(x+17)^10;(3*h + t)*(x+17)^9;(3*h + t)*(x+17)^8;(3*h + t)*(x+17)^7;(3*h + t)*(x+17)^6;(3*h + t)*(x+17)^5;(3*h + t)*(x+17)^4;(15*h + 12*t)*(x+17)^3;(10*h + 12*t)*(x+17)^2;(5*h + 8*t)*(x+17);(16*h + 8*t)
(h + 2*t)*(x+17)^16;(6*h + t)*(x+17)^15;(6*h + t)*(x+17)^14;(6*h + t)*(x+17)^13;(6*h + t)*(x+17)^12;(6*h + t)*(x+17)^11;(6*h + t)*(x+17)^10;(6*h + t)*(x+17)^9;(6*h + t)*(x+17)^8;(6*h + t)*(x+17)^7;(6*h + t)*(x+17)^6;(6*h + t)*(x+17)^5;(6*h + t)*(x+17)^4;(14*h + 13*t)*(x+17)^3;(8*h + 12*t)*(x+17)^2;(6*h + 12*t)*(x+17);(9*h + 14*t)
(h + 3*t)*(x+17)^16;(9*h + t)*(x+17)^15;(9*h + t)*(x+17)^14;(9*h + t)*(x+17)^13;(9*h + t)*(x+17)^12;(9*h + t)*(x+17)^11;(9*h + t)*(x+17)^10;(9*h + t)*(x+17)^9;(9*h + t)*(x+17)^8;(9*h + t)*(x+17)^7;(9*h + t)*(x+17)^6;(9*h + t)*(x+17)^5;(9*h + t)*(x+17)^4;(11*h + 14*t)*(x+17)^3;(2*h + 13*t)*(x+17)^2;(9*h + 8*t)*(x+17);(6*h + 3*t)
(h + 4*t)*(x+17)^16;(12*h + t)*(x+17)^15;(12*h + t)*(x+17)^14;(12*h + t)*(x+17)^13;(12*h + t)*(x+17)^12;(12*h + t)*(x+17)^11;(12*h + t)*(x+17)^10;(12*h + t)*(x+17)^9;(12*h + t)*(x+17)^8;(12*h + t)*(x+17)^7;(12*h + t)*(x+17)^6;(12*h + t)*(x+17)^5;(12*h + t)*(x+17)^4;(10*h + 15*t)*(x+17)^3;7*t*(x+17)^2;(12*h + 16*t)*(x+17);(16*h + t)
(h + 5*t)*(x+17)^16;(15*h + t)*(x+17)^15;(15*h + t)*(x+17)^14;(15*h + t)*(x+17)^13;(15*h + t)*(x+17)^12;(15*h + t)*(x+17)^11;(15*h + t)*(x+17)^10;(15*h + t)*(x+17)^9;(15*h + t)*(x+17)^8;(15*h + t)*(x+17)^7;(15*h + t)*(x+17)^6;(15*h + t)*(x+17)^5;(15*h + t)*(x+17)^4;(7*h + 16*t)*(x+17)^3;(2*h + 5*t)*(x+17)^2;(15*h + 3*t)*(x+17);(9*h + 7*t)
(h + 6*t)*(x+17)^16;(h + t)*(x+17)^15;(h + t)*(x+17)^14;(h + t)*(x+17)^13;(h + t)*(x+17)^12;(h + t)*(x+17)^11;(h + t)*(x+17)^10;(h + t)*(x+17)^9;(h + t)*(x+17)^8;(h + t)*(x+17)^7;(h + t)*(x+17)^6;(h + t)*(x+17)^5;(h + t)*(x+17)^4;12*h*(x+17)^3;(3*h + 7*t)*(x+17)^2;(8*h + 16*t)*(x+17);(8*h + 13*t)
(h + 7*t)*(x+17)^16;(4*h + t)*(x+17)^15;(4*h + t)*(x+17)^14;(4*h + t)*(x+17)^13;(4*h + t)*(x+17)^12;(4*h + t)*(x+17)^11;(4*h + t)*(x+17)^10;(4*h + t)*(x+17)^9;(4*h + t)*(x+17)^8;(4*h + t)*(x+17)^7;(4*h + t)*(x+17)^6;(4*h + t)*(x+17)^5;(4*h + t)*(x+17)^4;(9*h + t)*(x+17)^3;(9*h + 5*t)*(x+17)^2;(11*h + 3*t)*(x+17);(3*h + t)
(h + 8*t)*(x+17)^16;(7*h + t)*(x+17)^15;(7*h + t)*(x+17)^14;(7*h + t)*(x+17)^13;(7*h + t)*(x+17)^12;(7*h + t)*(x+17)^11;(7*h + t)*(x+17)^10;(7*h + t)*(x+17)^9;(7*h + t)*(x+17)^8;(7*h + t)*(x+17)^7;(7*h + t)*(x+17)^6;(7*h + t)*(x+17)^5;(7*h + t)*(x+17)^4;(8*h + 2*t)*(x+17)^3;(6*h + 16*t)*(x+17)^2;(14*h + 16*t)*(x+17);15*h
(h + 9*t)*(x+17)^16;(10*h + t)*(x+17)^15;(10*h + t)*(x+17)^14;(10*h + t)*(x+17)^13;(10*h + t)*(x+17)^12;(10*h + t)*(x+17)^11;(10*h + t)*(x+17)^10;(10*h + t)*(x+17)^9;(10*h + t)*(x+17)^8;(10*h + t)*(x+17)^7;(10*h + t)*(x+17)^6;(10*h + t)*(x+17)^5;(10*h + t)*(x+17)^4;(5*h + 3*t)*(x+17)^3;(4*h + 14*t)*(x+17)^2;12*t*(x+17);(8*h + 15*t)
(h + 10*t)*(x+17)^16;(13*h + t)*(x+17)^15;(13*h + t)*(x+17)^14;(13*h + t)*(x+17)^13;(13*h + t)*(x+17)^12;(13*h + t)*(x+17)^11;(13*h + t)*(x+17)^10;(13*h + t)*(x+17)^9;(13*h + t)*(x+17)^8;(13*h + t)*(x+17)^7;(13*h + t)*(x+17)^6;(13*h + t)*(x+17)^5;(13*h + t)*(x+17)^4;(4*h + 4*t)*(x+17)^3;(15*h + 8*t)*(x+17)^2;(3*h + 7*t)*(x+17);(h + 12*t)
(h + 11*t)*(x+17)^16;(16*h + t)*(x+17)^15;(16*h + t)*(x+17)^14;(16*h + t)*(x+17)^13;(16*h + t)*(x+17)^12;(16*h + t)*(x+17)^11;(16*h + t)*(x+17)^10;(16*h + t)*(x+17)^9;(16*h + t)*(x+17)^8;(16*h + t)*(x+17)^7;(16*h + t)*(x+17)^6;(16*h + t)*(x+17)^5;(16*h + t)*(x+17)^4;(h + 5*t)*(x+17)^3;6*t*(x+17)^2;(6*h + 3*t)*(x+17);(15*h + 9*t)
(h + 12*t)*(x+17)^16;(2*h + t)*(x+17)^15;(2*h + t)*(x+17)^14;(2*h + t)*(x+17)^13;(2*h + t)*(x+17)^12;(2*h + t)*(x+17)^11;(2*h + t)*(x+17)^10;(2*h + t)*(x+17)^9;(2*h + t)*(x+17)^8;(2*h + t)*(x+17)^7;(2*h + t)*(x+17)^6;(2*h + t)*(x+17)^5;(2*h + t)*(x+17)^4;(6*h + 6*t)*(x+17)^3;(11*h + 16*t)*(x+17)^2;(16*h + 16*t)*(x+17);(12*h + 7*t)
(h + 13*t)*(x+17)^16;(5*h + t)*(x+17)^15;(5*h + t)*(x+17)^14;(5*h + t)*(x+17)^13;(5*h + t)*(x+17)^12;(5*h + t)*(x+17)^11;(5*h + t)*(x+17)^10;(5*h + t)*(x+17)^9;(5*h + t)*(x+17)^8;(5*h + t)*(x+17)^7;(5*h + t)*(x+17)^6;(5*h + t)*(x+17)^5;(5*h + t)*(x+17)^4;(3*h + 7*t)*(x+17)^3;(6*h + 14*t)*(x+17)^2;12*t*(x+17);(7*h + 4*t)
(h + 14*t)*(x+17)^16;(8*h + t)*(x+17)^15;(8*h + t)*(x+17)^14;(8*h + t)*(x+17)^13;(8*h + t)*(x+17)^12;(8*h + t)*(x+17)^11;(8*h + t)*(x+17)^10;(8*h + t)*(x+17)^9;(8*h + t)*(x+17)^8;(8*h + t)*(x+17)^7;(8*h + t)*(x+17)^6;(8*h + t)*(x+17)^5;(8*h + t)*(x+17)^4;8*t*(x+17)^3;(6*h + 8*t)*(x+17)^2;(3*h + 6*t)*(x+17);
(h + 15*t)*(x+17)^16;(11*h + t)*(x+17)^15;(11*h + t)*(x+17)^14;(11*h + t)*(x+17)^13;(11*h + t)*(x+17)^12;(11*h + t)*(x+17)^11;(11*h + t)*(x+17)^10;(11*h + t)*(x+17)^9;(11*h + t)*(x+17)^8;(11*h + t)*(x+17)^7;(11*h + t)*(x+17)^6;(11*h + t)*(x+17)^5;(11*h + t)*(x+17)^4;(16*h + 10*t)*(x+17)^3;(2*h + 6*t)*(x+17)^2;(8*h + 2*t)*(x+17);10*h
(h + 16*t)*(x+17)^16;(14*h + t)*(x+17)^15;(14*h + t)*(x+17)^14;(14*h + t)*(x+17)^13;(14*h + t)*(x+17)^12;(14*h + t)*(x+17)^11;(14*h + t)*(x+17)^10;(14*h + t)*(x+17)^9;(14*h + t)*(x+17)^8;(14*h + t)*(x+17)^7;(14*h + t)*(x+17)^6;(14*h + t)*(x+17)^5;(14*h + t)*(x+17)^4;(15*h + 10*t)*(x+17)^3;4*h*(x+17)^2;(7*h + 15*t)*(x+17);(7*h + 15*t)


